city,community,classification,handle,audience,audience_source,last_active,last_active_date,confidence,evidence_url,reason,collabs
Madrid,Volta Run Club,local-community,@voltarunclub,"7,124 IG followers",IG (ig_fresh Apify),IG,2026-08-12,High,https://www.instagram.com/voltarunclub/,"Madrid run club, IG bio '📍Madrid', posted 6 days ago, seasonal (Season 03 back in Sep); active local community","Electrolit (@electrolit_es, 'Hydrated by')"
Madrid,DEGENS Run Club,local-community,@degensrunclub,"6,593 IG followers",IG (ig_fresh Apify),IG,2026-08-04,High,https://www.instagram.com/degensrunclub/,"IG bio '📍MADRID RUN CLUB', posted 14 days ago, 'just show up & run with us'; active local run community","Belevels (@belevels, 'powered by')"
Madrid,osom running club,local-community,@osomrunningclub,"10,236 IG followers",IG (ig_fresh Apify),IG,2026-07-25,High,https://www.instagram.com/osomrunningclub/,"Madrid run club (Jardin Botanico start), posted 24 days ago, summer break back 29/08; active local community","Osom Coffee (@somososom, parent brand / run-start venue)"
Madrid,FITCLUB COLLECTIVE,local-community,@fitclubcollective,"21,993 IG followers",IG (ig_fresh Apify),IG,2026-08-10,High,https://www.instagram.com/fitclubcollective/,"Fitness studio + wellness community with two Madrid studios (Columela 4, Diego de Leon 5), posted 8 days ago; active local fitness community",n/f
Madrid,Triboost Running Club,local-community,@triboostclub,"~9,052 IG followers",IG (per triboost.club / Urban Sports Club listing),web,2026-08-18,Med,https://triboost.club/running-madrid,"Live Madrid triathlon/running/swim club with multiple sedes (Chopera, Madrid Rio, Vallehermoso), 2026 site with active Jul/Aug training schedule and weekend activities; local sports community (IG handle corrected from blank to @triboostclub)",GOBIK (GOBIK x TRIBOOST kit)
Madrid,Professionals & Entrepreneurs Network Madrid (PNM),local-community,Meetup madrid-professionals-network,"8,954 Meetup members",Meetup,Meetup,2026-08-03,High,https://www.meetup.com/madrid-professionals-network/,"Madrid business networking community (Domeet/Stefania), monthly events; upcoming Sep 7 & Sep 19, last event Aug 3 with 202 attendees; openly recruits sponsors/stands","Openly recruits SPONSORS/stands; venues RED by Martini Rooftop, 11 Nudos"
Madrid,Madrid Expats - Social Events,local-community,Meetup madrid-expats,"10,095 Meetup members",Meetup,Meetup,2026-06-12,Med,https://www.meetup.com/madrid-expats/,"Madrid expat social community, 4.8 rating (1840), Nico Super Organizer; real Madrid group but latest visible past event Jun 12 (slower cadence), flagged possible slowdown",Madrid for Refugees (recurring venue/cause partner)
Madrid,Spanish & International Friends - Language Exchange,local-community,Meetup language-exchange-madrid,"28,715 Meetup members",Meetup,Meetup,2026-08-16,High,https://www.meetup.com/language-exchange-madrid/,"Oldest/most active Madrid language-exchange community; weekly Thu+Sun at Beer Station, upcoming Aug 20/23/27/30, last event Aug 16 (42 attendees); 28k is a Meetup local count (not global-brand)","Beer Station & El Chulo (host venues, Plaza Sto. Domingo)"
Madrid,Madrid Urban / Digital Nomads (Office&Coffee),local-community,Meetup madrid-urban-nomads-meetup-group,"3,865 Meetup members",Meetup,Meetup,2026-06-24,Med,https://www.meetup.com/madrid-urban-nomads-meetup-group/,"Madrid digital-nomad community, monthly at The Shed Coworking (Hermosilla 48); last event Jun 24 (~55d), The Shed Super Organizer; active but lower frequency",Immigram + Startups Institute ('The CEO's Diary'); earlier Cremma & La Bikina
Madrid,Madrid OneThousandClub,local-community,Luma onethousandclub_madrid,7 upcoming events Aug-Sep (no public member count),Luma,Luma,2026-08-21,High,https://luma.com/onethousandclub_madrid,"Madrid social club, 7 upcoming Luma events Aug 21-Sep 13 (afterworks, dinners, pool parties), several Near Capacity; hosts Gigi Vicoletto & Mel Miles",Ski Club Nautico de Madrid + ABYA Madrid (venue partners)
Madrid,Guiris de Mierda,local-community,Luma guirisdemierda,~94 RSVPs (Summer Party),Luma,Luma,2026-08-26,High,https://lu.ma/guirisdemierda,"Madrid expat/social community, upcoming Aug 26 (speed dating), Aug 29 Summer Party (+94 RSVPs), Sep 3; €50/mo God Tier Guiri membership",The Great Fever (Sep-3 networking co-host); Generator Madrid (past venue)
Madrid,Lectoras al borde,local-community,Luma lectorasalborde,no public member count (Luma),Luma,Luma,2026-10-17,Med,https://luma.com/lectorasalborde,"Women's books/culture community in Madrid; upcoming Oct 17 'Intercambio de libros' at El Retiro Park; real local community, low frequency, hosts Angela R & Anama",El Retiro Park (venue)
Madrid,Madlife Madrid: Make New Friends,local-community,Meetup madrid-make-new-friends,"9,159 Meetup members",Meetup,Meetup,2026-08-20,High,https://www.meetup.com/madrid-make-new-friends/,"Madrid international social community (rikardo Super Organizer), weekly karaoke/language-exchange/pubcrawl; upcoming Aug 20/21, last event Aug 15","Tropicana Beach Club, MOLA! Hostel Bar (host venues)"
Madrid,International Languages & Friends (Conversando con Nativos),local-community,Meetup international-friends-and-languages,"13,575 Meetup members",Meetup,Meetup,2026-08-16,High,https://www.meetup.com/international-friends-and-languages/,"Madrid language-exchange community (David Super Organizer), weekly Sunday meetups at Beer Station; upcoming Aug 23-Sep 13, last event Aug 16",Beer Station (host venue)
Madrid,20s 30s Madrid Social & Activities,local-community,Meetup 20s-30s-madrid-social-activities,"4,612 Meetup members",Meetup,Meetup,2026-08-22,High,https://www.meetup.com/20s-30s-madrid-social-activities/,"Madrid 20s/30s social + language-exchange community (claudia Super Organizer), weekly Sat at Daily Bar; upcoming Aug 22-Sep 12, last event Aug 15 (65 attendees)",Daily Bar (host venue)
Madrid,MadridBabel,local-community,Meetup madridbabel-great-social-activities-and-language-exchanges,"17,459 Meetup members",Meetup,Meetup,2026-08-19,High,https://www.meetup.com/madridbabel-great-social-activities-and-language-exchanges/,"Madrid international/cultural exchange community (Fran Rodriguez Super Organizer), weekly Wed+Sun free meetups at Plaza San Martin 3; upcoming Aug 19/23/26","Mana bar (host venue, Plaza San Martin)"
Madrid,Spainglish (Spanish English Community),local-community,Meetup spainglish,"2,235 Meetup members",Meetup,Meetup,2026-08-15,High,https://www.meetup.com/spainglish/,"Madrid language-exchange + social community (Cristian Correa Super Organizer), weekly structured exchange at Bar Domi; last event Aug 15 (23 attendees)",Bar Domi (host venue)
Madrid,"Expats, New in Town - Language Exchange Madrid (LEM)",local-community,Meetup madrid-expats-events-parties,"3,358 Meetup members (500-600/month at events)",Meetup,Meetup,2026-08-20,High,https://www.meetup.com/madrid-expats-events-parties/,"Central Madrid language-exchange + nightlife community (LEM), weekly Thu at La Fontana de Oro (Sol), +140/week; upcoming Aug 19/20/22",Pub Crawl Madrid (partner); La Fontana de Oro (host venue)
Madrid,MAD Meeples - Madrid English Boardgaming,local-community,Meetup english-boardgame-meet-up,"5,582 Meetup members",Meetup,Meetup,2026-08-19,High,https://www.meetup.com/english-boardgame-meet-up/,"Madrid English board-gaming community (Fiona Super Organizer), weekly Tue+Wed at Six Board Game Cafe; upcoming Aug 18/19 (25 attendees each)","Six Board Game Cafe (host venue, EUR4 cover)"
Madrid,Meet New People in Madrid / Conocer Gente (Madrid Urban Vibes),local-community,Meetup Meet-New-People-in-Madrid-Conocer-Gente-en-Madrid,"52,402 Meetup members",Meetup,Meetup,2026-08-19,High,https://www.meetup.com/Meet-New-People-in-Madrid-Conocer-Gente-en-Madrid/,"Very active Madrid social community (Madrid Urban Vibes, Michael Super Organizer), near-daily events (language exchange, hikes, workshops, excursions); upcoming Aug 18/19/20; 52k is a Meetup local-group count","El Loco Bar, Hotel Mediodia (venues); madridurbanvibes.com / travelvibes.es own tours"
Tallinn,Tallinn Road Runners,local-community,Strava club 462807,100+ members,Strava club 462807 (verify_json prior count; Strava profile 403 to bot),Strava group events,"2026 (recurring group events: Ülemiste Lake run, Tallinn walking trail)",Med,https://www.strava.com/clubs/462807,"Tallinn-based running club with live Strava group events (runs around Ülemiste, trail walks)",
Tallinn,ProductTank Tallinn,local-community,Meetup /producttank-tallinn/,"1,241 members",Meetup group page (producttank-tallinn),Meetup event,2026-06-04 (58 attendees),High,https://www.meetup.com/producttank-tallinn/,"Active free product-community meetup, most recent event Jun 2026 with 58 attendees; rotating Tallinn venues (Bondora, Coolbet, Microsoft Estonia)","Bondora (Jun venue), Coolbet, Microsoft Estonia (rotating hosts)"
Tallinn,LIFT99 Tallinn Hub,local-community,@lift99co (IG) + lift99.co,"2,909 IG followers","IG @lift99co (ig_fresh.csv, 2,910)",Hub events (IG feed stale since 2024-06),2026-08-27 (Founder Meet & Greet at LIFT99; hosts 100+ events/yr),Med,https://lift99.co/,"Telliskivi startup coworking hub and community, 100+ events/yr, confirmed Aug 2026 events; note IG feed stale but the hub is active via Eventbrite/site","Startup Adventures, Skaala, Founder Institute (event partners)"
Tallinn,Daily Meetups,local-community,Meetup /daily-meetups/ + dailymeetups.ee,"2,937 members",Meetup group page (daily-meetups),Meetup events (105 upcoming),2026-08-19 onward (daily recurring meetups),High,https://www.meetup.com/daily-meetups/,"Very active expat/social community, 100+ internationals weekly, 105 upcoming events through Aug 2026 (Markus Milder's live surface)","Yo Mana (board games), RUKIS (language exchange) venue hosts"
