city,community,reason,detail,old_value
Madrid,TRC - The Run Club,dead,"IG @trc_therunclub last post 2025-08-24 (~359 days stale per ig_fresh); no evidence of activity despite 13,879 followers","13,880 IG followers"
Madrid,Revel,dead,IG @revel.club has only 6 followers and no posts (no LastPost in ig_fresh); empty/inactive account,6 IG followers
Madrid,Madrid Premier Padel P1 by Oysho,global-brand,"Ticketed pro padel tournament (@madridpremierpadel, Oysho title sponsor at Movistar Arena, 01-06 Sep 2026), not a local community; 34,578 IG is the event/brand global count","34,577 IG followers"
Madrid,Nike Run Club Madrid,global-brand,"Brand-sponsored chapter (CorrerJuntos 2026 classifies it 'Brand-sponsored'); the 10,633 Strava members figure is the generic global NRC club, not a Madrid-specific local count","10,633 Strava members"
Madrid,adidas Runners Madrid,global-brand,"Brand-owned/brand-sponsored chapter (CorrerJuntos 2026 'Brand-sponsored', posted on adidas Running app); no distinct local-source count proving a standalone local community",adidas (brand-owned)
Madrid,We Run Madrid,dead,"No verifiable live source found (no IG in ig_fresh, no locatable Telegram/IG handle, no dated events); only appears as a name in listicles. Cannot confirm active.",n/f (no active public count)
Madrid,Madrid Startup Founder 101,dead,Group page consistently returns 'Group not found' on live fetch (bot-throttled or inactive); no confirmable 2026 event date from a live source; unverifiable as active,"3,299 members"
Madrid,Tech meetup @WITH,dead,Live Meetup page shows 337 members but 0 upcoming events; last confirmed event Hacktoberfest 2025-10-10 (~10 months ago); dormant,337 members; last event 2025-10-10
Tallinn,MRC Tallinn (Mikkeller Running Club),dead,IG @mrctallinn last post 2018-12-11 (7+ years / ~2800d stale); no live event surface found,261 IG followers; leader Inga Leetmaa; BrewDog Tallinn host
Tallinn,Revive Wellness Club,wrong-city,"@revive.wellnessclub (13,316 followers, verified) is in Neath & Swansea, WALES (revivewellnessclub.co.uk), NOT Tallinn; bio 'social wellness / ice baths / Finnish sauna / reformer pilates' matches the Welsh club; no confirmed Tallinn address; IG also stale (last post 2025-11-16)","13,315 IG followers; wellness/recovery; Mindbody"
Tallinn,eChai Tallinn Startup Network,dead,Meetup /startuptallinn/ last event 2024-05-02 (4 attendees); dormant >2 years,220-244 members; leader Jatin Chaudhary; eChai Ventures parent
Tallinn,International Friends Tallinn (expatVIBE),duplicate,All Meetup surfaces for Markus Milder's International Friends / Integrated / expatVIBE are dormant (last events May 2023 / Dec 2024); same operator as the ACTIVE Daily Meetups (kept). expatVIBE brand exists on FB (~11k) but no verifiable recent dated event; dropped to avoid double-counting the same operator,"2,955 Meetup members; leader Markus M. Milder"
Tallinn,Tallinn Expats Gatherings,dead,Meetup /tallinn-expats-gatherings/ now returns 'group not found' on live load; no confirmable current events,254 Meetup members; socialize.ee partner
Berlin,Midnight Runners Berlin,dead,IG @midnightrunnersberlin last post 2023-11-29 (>2.5 years); no second-source of active Berlin chapter runs. Dormant.,"10,177 IG followers"
Berlin,Adidas Runners Berlin,global-brand,"@adidasrunners is the global adidas Runners brand account (933,087 followers); count is the global brand, not local Berlin audience.","933,082 IG followers"
Berlin,OYSHO Run Club Berlin,global-brand,"@oysho_community is the global OYSHO brand account (248,090 followers); count is the global brand, not local Berlin audience.","248,095 IG followers"
Berlin,Berlin Entrepreneurs Group,dead,"Meetup group has no upcoming events; last event May 23 2018 (8+ years ago). Also member count wrong (actual 3,558, not 3,624).","3,624 Meetup members"
Berlin,Sauna Social Club Berlin,dead,"IG @sauna_social_club_berlin last post 2026-01-25 (~205d, >90d stale) and could not be second-sourced off Instagram; look-alike clubsauna.berlin is a distinct venue. Cannot confirm active.","2,400 IG followers"
Paris,adidas Runners Paris,global-brand,"adidas-owned program (40,000 runners, exported to 60+ cities) - the explicit global-brand archetype; not an independent local community. Local handle @runnersofparis (7,532) is a brand chapter, not organic.","7,532 IG followers @runnersofparis"
Paris,Paris.AI Meetup,dead,Luma lu.ma/parisai2 resolves to a 5 Mar 2024 event (ended 896 days ago); also a duplicate of the Air Street Paris AI series.,n/f (Luma)
Paris,GenAI Summit Paris,global-brand,"One-off annual paid conference (Apr 10 2026, ended 130 days ago) run by Bay AI Circle/Argos Labs/AICF - an event/conference brand, not a recurring local community. Audience '1,500+' was event size.","n/f (1,500+ = event size)"
Paris,{Tech:Europe} Paris AI Hackathon,dead,{Tech:Europe} is a pan-European multi-city hackathon organizer; the Paris hackathon was 27 Sep 2025 (ended 324 days ago). Not a Paris-local community.,n/f (Luma)
Paris,INTERNATIONALS in Paris,handle-mismatch,"Meetup URL /internationalsinparis resolves to 'INTERNATIONAL Entrepreneurs in Paris' (part of a Geneva-Switzerland Meetup network); last real events May 2026 (1 attendee) then 2021 - dormant. The 90,205 figure is the global InterNations platform, not this group.","90,205 InterNations members"
Paris,InterNations Paris,global-brand,"90,205 = global InterNations platform membership (420 cities worldwide), not a local metric; duplicate of the INTERNATIONALS in Paris row.","90,205 InterNations members"
