City,Community,Vertical,Kolabing Fit,Platforms,Profile/Handle,Est Audience,Attendee Range,Cadence,Leader,Last Event,Monetised,Collab Businesses,Collab Evidence Links,Language
Madrid,Volta Run Club,running,HIGH,IG @voltarunclub + Meetup + Luma,@voltarunclub,"~7,176 IG followers",,Wed 20:00 Retiro / Sat 10:00 Casa de Campo,,,Y,"Electrolit (@electrolit_es, “hydrated by”)",Electrolit (“hydrated by”) (https://www.instagram.com/p/DOdxRMfiCBb/),ES/EN
Madrid,Revel,running+social,MED,IG + Luma + Salir,@revel.club,"⚠ handle ambiguous: @revel.club = dormant (6 flwrs) vs @therevelclub ~1,244",,Sun 11:00 Retiro,,,Y (paid experience),n/f,,EN
Madrid,DEGENS Run Club,running,HIGH,IG @degensrunclub,@degensrunclub,"~6,464 followers",,Fri 19:30 / Sun 10:00 (Puerta Felipe IV),,,Y,"Belevels (@belevels, “powered by”)",Belevels (“powered by”) (https://www.instagram.com/p/DNiyYN5oRSI/),ES
Madrid,TRC – The Run Club,running,HIGH,IG @trc_therunclub + therunclub.es,@trc_therunclub,"~14,000 followers",,"daily, 5 Madrid locations",Antonio Brunete (founder/coach),,Y (paid membership),n/f,,ES
Madrid,osom running club,running,HIGH,IG @osomrunningclub,@osomrunningclub,"~10,000 followers",,Wed + Sat mornings,,,Y,"Osom Coffee (@somososom, parent brand / run-start venue)",Osom Coffee (parent) (https://somososom.com/running-club/),ES/EN
Madrid,FITCLUB COLLECTIVE,fitness/wellness,MED-HIGH,"IG @fitclubcollective + studios (Columela 4, Diego de León 5)",@fitclubcollective,"~22,000 followers",,ongoing,,,Y (paid studio),n/f,,ES/EN
Madrid,Triboost Running Club,triathlon,MED,triboost.club + IG,,audience n/f,,recurring,,,Y (paid),,,ES
Madrid,Madrid Premier Padel P1 by Oysho,padel/sport-event,MED,"IG @madridpremierpadel ~34,000",@madridpremierpadel,,,,,"Comunidad de Madrid Premier Padel P1, Sep 1–6 2026 (Movistar Arena)",Y,Oysho (title sponsor) + Movistar Arena (venue),Oysho (title sponsor) (https://www.movistararena.es/programacion/evento/comunidad-de-madrid-premier-p-del-p1-by-oysho) ; Movistar Arena (venue) (https://www.padelfip.com/2025/06/movistar-arena-is-ready-to-host-comunidad-de-madrid-premier-padel-p1-from-september-2nd-to-7th-...),ES
Madrid,Nike Run Club Madrid,running,LOW-MED,Strava/IG/Nike app,,,,recurring,,,Y,Nike (brand-owned),Nike (https://www.facebook.com/nikerunclubmadrid/),ES/EN
Madrid,adidas Runners Madrid,running,LOW-MED,adidas app/IG,,pro coaches + members,,Tue/Thu 19:30,,,Y,adidas (brand-owned),adidas (https://www.adidas.es/adidasrunners/community/madrid),ES/EN
Madrid,Professionals & Entrepreneurs Network Madrid (PNM),business networking,HIGH,"Meetup 8,952 + IG + Telegram + WhatsApp + LinkedIn + TikTok + FB",,"8,952 members",~100–202/event,monthly (1st Mon),"Stefania (Domeet, Super Organizer)",Business Networking Ago Rooftop 2026-08-03 (202 attendees),Y (explicit intent),openly recruits SPONSORS/stands,,ES/EN
Madrid,Madrid Expats — Social Events,expat/social,HIGH,Meetup,,"10,096 members",6–14/event,weekly,Nico (Super Organizer),Benefit Pub Quiz 2026-06-12,partial (ticketed €8–15),Madrid for Refugees (recurring venue/cause partner),Madrid for Refugees (https://madridforrefugees.org/volunteering-opportunities/),EN/ES
Madrid,Spanish & International Friends — Language Exchange,language exchange,HIGH,Meetup,,"28,715 members",~42/event,weekly (Thu 20:00 + Sun 19:30),David (Super Organizer),Sunday Intercambio 2026-08-16 (42 attendees),Y (venue deals),"Beer Station & El Chulo (host venues, Plaza Sto. Domingo)",Beer Station / El Chulo (venues) (https://www.meetup.com/language-exchange-madrid/),EN/ES
Madrid,Madrid Urban / Digital Nomads (Office&Coffee),digital nomads,MED-HIGH,Meetup,,"3,865 members",~5/event,monthly,The Shed Coworking (Super Organizer),Club de Oratoria/TinTalks 2026-06-24 (5),partial,Immigram + Startups Institute (“The CEO’s Diary” 2026-04-30); earlier Cremma & La Bikina,Immigram / Startups Institute / Cremma / La Bikina (https://www.meetup.com/madrid-urban-nomads-meetup-group/),EN/ES
Madrid,Madrid Startup Founder 101,startup,MED,Meetup,,"3,299 members",,recurring,n/f (bot-throttled this pass),n/f,n/f,n/f,,EN
Madrid,Tech meetup @WITH,tech,MED,Meetup,last event Hacktoberfest 2025 @ WITH Madrid 2025-10-10 (25),337 members,~25/event,~quarterly,Geoffroy de Ribou (+3),Hacktoberfest 2025 @ WITH Madrid 2025-10-10 (25),partial,L’Oréal (co-hosted web-accessibility session 2025-04-03),L’Oréal (accessibility session) (https://www.meetup.com/tech-meetup-with/),EN/ES
Madrid,Madrid OneThousandClub,social club,HIGH,Luma,,audience n/f,,weekly/multi-weekly,Gigi Vicoletto (lead host); Mel Miles (“Dinner At Home”),Summer Afterwork August Edition 2026-08-21 (€5.15),Y (ticketed),Ski Club Náutico de Madrid + ABYA Madrid (venue partners),Ski Club Náutico de Madrid (https://luma.com/onethousandclub_madrid) ; ABYA Madrid (https://luma.com/onethousandclub_madrid),EN
Madrid,Guiris de Mierda,expat/social,MED-HIGH,Luma,,~93+ RSVPs (summer party),,weekly,"team (Nicholas Farrell, Enmary Margaret)",Summer Party 2026 “The Millennium” 2026-08-29 (93+ going),Y,Generator Madrid (venue); The Great Fever (Sep-3 networking co-host),Generator Madrid (https://luma.com/zh1v0z4d) ; The Great Fever (https://luma.com/4o4gxbc3),EN
Madrid,Lectoras al borde,books/culture (women),MED,Luma,,audience n/f,,sparse/occasional,Ángela R & Anáma,Intercambio de libros 2026-10-17,partial,"El Retiro Park (venue), no brand sponsor found",,ES
Madrid,We Run Madrid,running,MED,Telegram + IG,,audience n/f,,Wed 20:00 / Sat 10:00,n/f,,n/f,n/f (“nobody left behind” inclusive ethos),,ES/EN
Tallinn,MRC Tallinn (Mikkeller Running Club),running/beer,HIGH,IG @mrctallinn + FB,@mrctallinn,246 IG flwrs,,weekly Tue 18:00,Inga Leetmaa,weekly Tue run @ BrewDog,,BrewDog Tallinn (host venue) + Mikkeller (parent),BrewDog Tallinn (venue) (https://www.facebook.com/BrewDogTallinn/videos/307924509630366/) ; Mikkeller (parent) (https://www.mikkeller.com/mrc/chapters),EN/ET
Tallinn,Tallinn Road Runners,running,MED,Strava club 462807,,100+ members,,recurring,,,,,,ET/EN
Tallinn,Revive Wellness Club,wellness/recovery,HIGH,IG @revive.wellnessclub + Mindbody,@revive.wellnessclub,"~13,000 IG flwrs",,weekly classes,,sauna/ice-bath sessions,,,,EN/ET
Tallinn,Ohana Tallinn,wellness/sauna,MED,IG @ohanatallinn,@ohanatallinn,493 flwrs,,,,wood-fired sauna + ice bath (Old Town),,,,EN/ET
Tallinn,ProductTank Tallinn,product/tech meetup,HIGH,Meetup,,"1,241 members",58–73/event,~monthly,Mind The Product + 3 organizers,“What Claude Changes in Product Work” 2026-06-04,,"Bondora (Jun venue), Coolbet, Microsoft Estonia (rotating hosts)",Bondora (venue) (https://www.meetup.com/producttank-tallinn/) ; Coolbet (n/f) ; Microsoft Estonia (n/f),EN
Tallinn,eChai Tallinn Startup Network,startup/founders,MED,Meetup + echai.ventures,,220 members,2–4/event,periodic,Jatin Chaudhary (eChai co-founder),Tallinn Startup Meetup 2024-05,,eChai Ventures (parent),,EN
Tallinn,Vibe Code Atelier,builder/AI demo day,MED-HIGH,Luma (luma.com/ah0iu2db),,audience n/f,,monthly,Startup Adventures team,Vibe Code Atelier Meetup #1,,Startup Adventures + Skaala + LIFT99 (co-presenters),Startup Adventures (https://luma.com/ah0iu2db) ; Skaala / LIFT99 (https://latitude59.ee/agenda/side-events/),EN
Tallinn,LIFT99 Tallinn Hub,startup/coworking community,HIGH,IG @lift99co + FB + lift99.co,@lift99co,,,~weekly,LIFT99 team,hosts Vibe Code Atelier + demo days,,"Startup Adventures, Skaala (event partners)",Startup Adventures (https://medium.com/startup-adventures-international/our-experience-in-lift99-has-been-progressive-our-story-f056855f031a) ; Skaala (https://luma.com/ah0iu2db),EN
Tallinn,BNI North Star Tallinn,business networking,MED,bni.ee + FB,,"Fit: MED (structured, weekly, but closed-membership model)

EXPAT / SOCIAL / STUDENT / NOMAD",20–40/event,weekly,chapter director (n/f),weekly referral breakfast,,BNI (global),,EN/ET
Tallinn,International Friends Tallinn (expatVIBE),expat/social,HIGH,Meetup + FB + IG,,,,last: rock climbing/chess/dinners (ongoing),Markus M. Milder (Super Organizer),rock climbing/chess/dinners (ongoing),,expatVIBE (own platform),,EN
Tallinn,Daily Meetups,expat/social,HIGH,Meetup + FB + dailymeetups.ee,,,,**Daily Meetups**,Markus M. Milder (same as #10,board games Mon / drinks Fri,,,,EN
Tallinn,ESN Tallinn,student/international,MED-HIGH,IG @esn.tallinn + FB,@esn.tallinn,audience n/f,,weekly,ESN Tallinn board,ongoing student socials,,Erasmus Student Network (parent),,EN
Tallinn,Tallinn Expats Gatherings,expat/social,MED,Meetup + socialize.ee,,audience n/f,,recurring,,expat activities (ongoing),,Socialize.ee (partner platform),Socialize.ee (n/f),EN
Tallinn,Nomad Summit / Nomad Week Tallinn,digital nomads,MED-HIGH,nomadsummit.com + Luma,last: **Nomad Summit Tallinn 2026-07-03–05 @ Kultuurikatel**,pan-EU nomad audience,,annual,Nomad Summit team,Nomad Summit Tallinn 2026-07-03–05 @ Kultuurikatel,,Kultuurikatel (venue),Kultuurikatel (venue) (https://kultuurikatel.ee/en/events/nomad-summit/),EN
